date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:40	172/172	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Nov%202025%2018:40:40%20GMT	https://portfolio-younes.fr/robots.txt		(from )
19:40:40	49563/49563	---MCZ	200	added ('OK')	text/html	etag:W/%22c19b-63ee9a4e33e5a%22	https://portfolio-younes.fr/	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/index.html	(from )
19:40:40	42962/42962	---M--	200	added ('OK')	image/png	etag:%22a7d2-6325545d14f7a%22	https://portfolio-younes.fr/assets/img/mslogo-removebg-preview%20(1).png	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/img/mslogo-removebg-preview%20(1).png	(from https://portfolio-younes.fr/)
19:40:41	51227/51227	---M--	200	added ('OK')	text/css	etag:%22c81b-632554538a97a%22	https://portfolio-younes.fr/assets/css/icomoon.css	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/css/icomoon.css	(from https://portfolio-younes.fr/)
19:40:41	68028/68028	---M--	200	added ('OK')	text/css	etag:%22109bc-632554c25c9e5%22	https://portfolio-younes.fr/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/boxicons/css/boxicons.min.css	(from https://portfolio-younes.fr/)
19:40:41	28765/28765	---M--	200	added ('OK')	text/css	etag:%22705d-63255472c2c11%22	https://portfolio-younes.fr/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/aos/aos.css	(from https://portfolio-younes.fr/)
19:40:41	232803/232803	---M--	200	added ('OK')	text/css	etag:%2238d63-632554ac2fe10%22	https://portfolio-younes.fr/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://portfolio-younes.fr/)
19:40:42	98255/98255	---M--	200	added ('OK')	text/css	etag:%2217fcf-63255474d8eea%22	https://portfolio-younes.fr/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://portfolio-younes.fr/)
19:40:42	13749/13749	---M--	200	added ('OK')	text/css	etag:%2235b5-632554cf4c21a%22	https://portfolio-younes.fr/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/glightbox/css/glightbox.min.css	(from https://portfolio-younes.fr/)
19:40:42	18433/18433	---M--	200	added ('OK')	text/css	etag:%224801-6325547967ebb%22	https://portfolio-younes.fr/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/swiper/swiper-bundle.min.css	(from https://portfolio-younes.fr/)
19:40:42	29688/29688	---M--	200	added ('OK')	text/css	etag:%2273f8-632554537bf1b%22	https://portfolio-younes.fr/assets/css/style.css	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/css/style.css	(from https://portfolio-younes.fr/)
19:40:42	49563/49563	---MCZ	200	added ('OK')	text/html	etag:W/%22c19b-63ee9a4e33e5a%22	https://portfolio-younes.fr/index.html	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/index-2.html	(from https://portfolio-younes.fr/)
19:40:43	7154/7154	---MCZ	200	added ('OK')	text/html	etag:W/%221bf2-63255a6fd547b%22	https://portfolio-younes.fr/autres/hireme.html	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/autres/hireme.html	(from https://portfolio-younes.fr/)
19:40:43	193396/193396	---M--	200	added ('OK')	image/png	etag:%222f374-632554589b769%22	https://portfolio-younes.fr/assets/img/Hand%20coding-bro.png	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/img/Hand%20coding-bro.png	(from https://portfolio-younes.fr/)
19:40:43	146289/146289	---M--	200	added ('OK')	image/png	etag:%2223b71-6325545e5b236%22	https://portfolio-younes.fr/assets/img/Programming-bro%20(1).png	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/img/Programming-bro%20(1).png	(from https://portfolio-younes.fr/)
19:40:43	125916/125916	---M--	200	added ('OK')	application/pdf	etag:%221ebdc-63e7621f0cb52%22	https://portfolio-younes.fr/assets/cv_younes.pdf	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/cv_younes.pdf	(from https://portfolio-younes.fr/)
